CÓDIGO,NOMBRE,OBSERVACIONES,,,,
10054161,BIN,,,,,
10054163,BIN,,,,,
10054167,BIN,,,,,
10054168,BIN,,,,,
10054169,BIN,,,,,
10054170,BIN,,,,,
10054171,BIN,,,,,
10054172,BIN,,,,,
10054173,BIN,,,,,
10054176,BIN,,,,,
10054177,BIN,,,,,
10054178,BIN,,,,,
10054179,BIN,,,,,
10054180,BIN,,,,,
10054181,BIN,,,,,
10071717,MESA DE MADERA,,,,,
10071718,MESA DE MADERA,,,,,
10071719,MESA DE MADERA,,,,,
10071720,MESA DE MADERA,,,,,
10071722,MESA DE MADERA,,,,,
10071723,MESA DE MADERA,,,,,
10071724,MESA DE MADERA,,,,,
10071725,MESA DE MADERA,,,,,
10071817,SILLA,,,,,
10071818,SILLA,,,,,
10071819,SILLA,,,,,
10071820,SILLA,,,,,
10071821,SILLA,,,,,
10071822,SILLA,,,,,
10071824,SILLA,,,,,
10074101,RACK MOVIL,,,,,
10074102,RACK MOVIL,,,,,
10074103,RACK MOVIL,,,,,
10074104,RACK MOVIL,,,,,
10074301,PIZARRON BLANCO,,,,,
10074302,PIZARRON BLANCO,,,,,
11071101,MESA 1 GT2,,,,,
11071210,MESA 5 GT1,,,,,
11073101,BANCO DE TRABAJO,,,,,
11073307,SILLA DE TRABAJO CON RUEDAS,,,,,
11154303,ARCO BIN,,,,,
11171111,MESA 4 GT1,,,,,
11173308,SILLA DE TRABAJO CON RUEDAS,,,,,
11271212,MESA 6 GT1,,,,,
11273309,SILLA DE TRABAJO CON RUEDAS,,,,,
11371701,MESA DE TRABAJO,,,,,
11371701,MESA DE MADERA,,,,,
11371801,SILLA,,,,,
11471802,SILLA,,,,,
11571703,MESA DE TRABAJO,,,,,
11571703,MESA DE MADERA,,,,,
11571803,SILLA,,,,,
11671704,MESA DE TRABAJO,,,,,
11671704,MESA DE MADERA,,,,,
11671804,SILLA,,,,,
11771705,MESA DE TRABAJO,,,,,
11771705,MESA DE MADERA,,,,,
11771805,SILLA,,,,,
11871706,MESA DE TRABAJO,,,,,
11871706,MESA DE MADERA,,,,,
11871806,SILLA,,,,,
12041201,HERRAMIENTA SEMIAUTOMÁTICA PANTALLA,,,,,
12042201,HERRAMIENTA SEMIAUTOMÁTICA CPU,,,,,
12071202,MESA 6 GT2,,,,,
12073301,SILLA DE TRABAJO CON RUEDAS,,,,,
13071103,MESA 2 GT2,,,,,
13073102,BANCO DE TRABAJO,,,,,
14071204,MESA 4 GT2,,,,,
14073302,SILLA DE TRABAJO CON RUEDAS,,,,,
15071105,MESA 3 GT2,,,,,
15073103,BANCO DE TRABAJO,,,,,
16071206,MESA 5 GT2,,,,,
16073303,SILLA DE TRABAJO CON RUEDAS,,,,,
17054301,ARCO BIN,,,,,
17071107,MESA 1 GT1,,,,,
17073304,SILLA DE TRABAJO CON RUEDAS,,,,,
18041202,ENSAMBLE MANUAL PANTALLA,,,,,
18042202,ENSAMBLE MANUAL CPU,,,,,
18071208,MESA 3 GT1,,,,,
18073305,SILLA DE TRABAJO CON RUEDAS,,,,,
19054302,ARCO BIN,,,,,
19071109,MESA 2 GT1,,,,,
19073306,SILLA DE TRABAJO CON RUEDAS,,,,,
20074201,BANDA TRANSPORTADORA,,,,,
20074202,BANDA TRANSPORTADORA,,,,,
